id,name,atk,def,guardian_star_1,guardian_star_2,type,color,level,attribute,starchip_cost,password,description
1,"Blue-eyes White Dragon",3000,2500,Sun,Mars,Dragon,,8,Light,999999,89631139,"An extremely rare\ncard with\nunsurpassed attack\nand defense power."
2,"Mystical Elf",800,2000,Sun,Jupiter,Spellcaster,,4,Light,160,15025844,"A delicate elf that\nlacks in offense\nbut has a terrific\ndefense backed by\nmystical power."
3,"Hitotsu-me Giant",1200,1000,Moon,Mars,Beast-Warrior,,4,Earth,70,76184692,"A one-eyed behemoth\nwith thick, powerful\narms made for\ndelivering punishing\nblows."
4,"Baby Dragon",1200,700,Uranus,Sun,Dragon,,3,Wind,999999,88819587,"Much more than just\na child, this dragon\nis gifted with\nuntapped power."
5,"Ryu-kishin",1000,500,Saturn,Sun,Fiend,,3,Dark,30,15303296,"A very elusive\ncreature that looks\nlike a harmless\nstatue until it\nattacks."
6,"Feral Imp",1300,1400,Moon,Jupiter,Fiend,,4,Dark,140,41392891,"A playful little imp\nthat lurks in the\ndark, waiting to\nattack an unwary\nenemy."
7,"Winged Dragon #1",1400,1200,Saturn,Moon,Dragon,,4,Wind,999999,87796900,"A dragon commonly\nfound guarding\nmountain fortresses.\nIts signature attack\nis a sweeping dive\nfrom out of the blue."
8,"Mushroom Man",800,600,Jupiter,Sun,Plant,,2,Earth,30,14181608,"Found in moist areas,\nthis monster\nlaunches poison\nspores against its\nenemies."
9,"Shadow Specter",500,200,Moon,Saturn,Zombie,,1,Dark,15,40575313,"Ghostly beast that\nappears in the\nwasteland and is\nparticularly\ntroublesome when\nfaced in large\nnumbers."
10,"Blackland Fire Dragon",1500,800,Mercury,Moon,Dragon,,4,Dark,80,87564352,"A dragon that dwells\nin the depths of\ndarkness.\nIts defensive\ncapability suffers\nfrom its poor\neyesight."
11,"Sword Arm of Dragon",1750,2030,Uranus,Moon,Dinosaur,,6,Earth,1000,13069066,"With a body covered\nin sword-like thorns,\nnothing dares stand\nin the way of this\nmonster when it\ncharges."
12,"Swamp Battleguard",1800,1500,Mercury,Mars,Warrior,,5,Earth,290,40453765,"This creature is\narmed with a spiked\nclub that can\ndestroy almost\nanything in its path.\nRumored to have a\nbrother that is just\nas destructive."
13,"Tyhone",1200,1400,Saturn,Venus,Winged Beast,,4,Wind,120,72842870,"Capable of firing\ncannonballs from its\nmouth for long-range\nattacks against\nenemies."
14,"Battle Steer",1800,1300,Moon,Uranus,Beast-Warrior,,5,Earth,230,18246479,"A bull monster often\nfound in the woods.\nCharges enemy\nmonsters with a pair\nof razor-sharp horns."
15,"Flame Swordsman",1800,1600,Mars,Sun,Warrior,,5,Fire,320,45231177,"A fighter gifted with\nthe power of fire.\nAttacks enemies with\na sword that\nlaunches flames."
16,"Time Wizard",500,400,Venus,Sun,Spellcaster,,2,Light,999999,71625222,"A sorcerer capable\nof bending time to\nhis will. Though not\npowerful at first\nglance, appearances\ncan be deceiving."
17,"Right Leg of the Forbidden One",200,300,Mercury,Jupiter,Spellcaster,,1,Dark,999999,8124921,"A forbidden limb\nsealed by magic.\nWhoever breaks\nthis seal will know\ninfinite power.\nOnly one card of\nthis type may be\nincluded in a deck."
18,"Left Leg of the Forbidden One",200,300,Mercury,Saturn,Spellcaster,,1,Dark,999999,44519536,"A forbidden limb\nsealed by magic.\nWhoever breaks\nthis seal will know\ninfinite power.\nOnly one card of\nthis type may be\nincluded in a deck."
19,"Right Arm of the Forbidden One",200,300,Mercury,Uranus,Spellcaster,,1,Dark,999999,70903634,"A forbidden limb\nsealed by magic.\nWhoever breaks\nthis seal will know\ninfinite power.\nOnly one card of\nthis type may be\nincluded in a deck."
20,"Left Arm of the Forbidden One",200,300,Mercury,Pluto,Spellcaster,,1,Dark,999999,7902349,"A forbidden limb\nsealed by magic.\nWhoever breaks\nthis seal will know\ninfinite power.\nOnly one card of\nthis type may be\nincluded in a deck."
21,"Exodia the Forbidden",1000,1000,Mercury,Neptune,Spellcaster,,3,Dark,999999,33396948,"Once combined with\narms and legs,\nthis monster is freed\nfrom its magical\nchains.\nOnly one card of\nthis type may be\nincluded in a deck."
22,"Summoned Skull",2500,1200,Moon,Pluto,Fiend,,6,Dark,999999,70781052,"An entity with dark\npowers for confusing\nthe enemy. Among the\nFIEND class of\nmonsters, this is a\npretty rare card."
23,"The Wicked Worm Beast",1400,700,Uranus,Venus,Beast,,3,Earth,60,6285791,"A monster worm\ncreated by the\npowers of darkness.\nIt suddenly appears\nfrom under the\nground to attack its\nenemies."
24,"Skull Servant",300,200,Moon,Neptune,Zombie,,1,Dark,10,32274490,"A skeletal ghost\nthat isn't strong\nbut can mean trouble\nin large numbers."
